City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
351,Lompoc,US,72.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
352,Sao Gabriel Da Cachoeira,BR,77.97,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
354,Mairana,BO,61.81,scattered clouds,-18.1167,-63.9333,Mi Terruño
356,Amarante Do Maranhao,BR,71.33,broken clouds,-5.5667,-46.7422,Hotéis Caçulinha
364,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
366,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
367,Monterey,US,65.26,clear sky,36.2505,-121.2516,
369,Gao,ML,68.59,few clouds,16.6362,1.637,
373,Damaturu,NG,62.53,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
376,Manoel Urbano,BR,74.89,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
378,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
380,Baracoa,CU,70.56,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
381,Mangrol,IN,64.63,clear sky,21.1167,70.1167,Hotel The Royal Honours
382,Marawi,PH,65.64,scattered clouds,7.9986,124.2928,Derogongan Residence
385,Manama,BH,62.58,clear sky,26.2154,50.5832,Al Safir Hotel
387,El Calvario,GT,69.13,clear sky,14.1167,-89.9167,FINCA LOS ABUELOS
389,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
391,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
394,Sechura,PE,77.4,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
397,Sinnamary,GF,76.51,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
401,Les Cayes,HT,76.1,broken clouds,18.2,-73.75,Villa Orphee
403,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
404,Wanning,CN,69.33,overcast clouds,18.8003,110.3967,Paradise Hotel
405,Taguatinga,BR,71.98,overcast clouds,-12.3857,-46.5711,
406,Airai,TL,63.84,overcast clouds,-8.9266,125.4092,
407,Basco,PH,71.2,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
408,Asosa,ET,63.73,scattered clouds,10.0667,34.5333,Blendana Hotel Assosa
417,Qandala,SO,73.9,overcast clouds,11.472,49.8728,
420,Gore,NZ,72.23,broken clouds,-46.1028,168.9436,Esplanade Motels
421,Mogadishu,SO,76.98,overcast clouds,2.0371,45.3438,Hotel Juba
422,Umm Lajj,SA,64.06,overcast clouds,25.0213,37.2685,Moon light Furnished Units
425,Pedernales,DO,77.63,scattered clouds,18.0384,-71.744,Hotel Costa Marina
430,Sonoita,MX,71.53,clear sky,31.85,-112.8333,Santa Ana
431,Salalah,OM,68.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
433,Kolokani,ML,73.74,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
434,Santa Cruz Del Sur,CU,71.38,scattered clouds,20.7147,-77.9956,
435,Pandan,PH,77.76,moderate rain,14.0453,124.1694,Bonifacio Lodge
438,Ulladulla,AU,79.77,clear sky,-35.35,150.4667,Sandpiper Motel
439,Gisborne,NZ,68.95,scattered clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
441,Pizarro,CO,77.14,light rain,4.9533,-77.366,Hotel Limonar
447,Eirunepe,BR,78.93,overcast clouds,-6.6603,-69.8736,Atrás de você
448,Santa Isabel,BR,70.66,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
452,Iseyin,NG,76.42,overcast clouds,7.9667,3.6,Momak Hotels And Suites
455,Dodge City,US,60.64,clear sky,37.7528,-100.0171,Windsor Inn & Suites
459,Necochea,AR,66.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
468,Kikwit,CD,73.96,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
470,Banda Aceh,ID,76.37,broken clouds,5.5577,95.3222,Sulthan Hotel International
472,Gwembe,ZM,62.24,light rain,-16.4975,27.6069,
476,Mimongo,GA,69.12,overcast clouds,-1.6195,11.6068,
479,Razole,IN,64.2,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
481,Codrington,AU,71.51,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
489,Lagos,NG,69.69,overcast clouds,6.5833,3.75,
494,Galeana,MX,70.32,few clouds,24.8333,-100.0667,Mirador
496,Mazamari,PE,69.62,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
499,Pueblo Bello,CO,73.15,broken clouds,8.2041,-76.526,
501,Maraba,BR,72.73,overcast clouds,-5.3686,-49.1178,Hotel Del Principe
503,Vanimo,PG,76.78,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
505,Outram,MY,78.82,broken clouds,1.2829,103.8379,Grand Copthorne Waterfront
507,Kingori,TZ,68.7,overcast clouds,-3.2833,36.9833,Rafiki Hostel
510,Dunedin,NZ,69.8,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
511,Yenagoa,NG,74.12,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
512,Buchanan,LR,76.96,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
516,Bengkulu,ID,75.49,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
519,Maradi,NE,64.24,clear sky,13.5,7.1017,NRC office
521,Santa Rosa,PH,79.86,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
523,Arraias,BR,68.11,overcast clouds,-12.9288,-46.9437,Hotel Japão
524,Bousso,TD,71.62,few clouds,10.4795,16.7117,
525,Mecca,SA,68.47,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
528,Durban,ZA,75.02,overcast clouds,-29.8579,31.0292,Hilton Durban
529,Chimbote,PE,71.8,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
530,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
538,Beira,MZ,77.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
539,Ahipara,NZ,75.45,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
542,Dingle,PH,75.38,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
544,Pontianak,ID,75.18,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
547,Reo,BF,74.73,few clouds,12.3167,-2.4667,Hôtel Deogratias
551,Nouadhibou,MR,64.38,overcast clouds,20.931,-17.0347,El Medina
552,Meulaboh,ID,76.21,broken clouds,4.1363,96.1285,Kost Pria
560,Guaratinga,BR,77.67,broken clouds,-16.5667,-39.5667,Hotel Caraíva
561,Alta Gracia,AR,79.52,clear sky,-31.6529,-64.4283,Hotel Ritz
562,Dar Es Salaam,TZ,77.49,light rain,-6.8235,39.2695,Hotel Nikko Tower
564,Adrar,MR,74.39,overcast clouds,20.5022,-10.0711,
565,Edd,ER,78.49,broken clouds,13.9297,41.6925,
568,Negombo,LK,75.92,clear sky,7.2083,79.8358,Hotel Sunset Beach
570,Kinshasa,CD,76.08,overcast clouds,-4.3246,15.3215,Flat Hotel Alhdeef
571,Sibanicu,CU,64.85,broken clouds,21.235,-77.5264,
572,Cocorit,MX,75.54,overcast clouds,27.5833,-109.9667,Kaba Motel
573,Road Town,VG,77.09,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
576,Vieux-Habitants,GP,76.57,clear sky,16.0589,-61.7659,Gîtes Dardanelle
577,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,Bushido Lodge
578,Makakilo City,US,77.68,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
582,Riohacha,CO,76.68,clear sky,11.5444,-72.9072,Hotel Taroa
583,Lorengau,PG,79.09,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
584,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
587,Te Anau,NZ,69.71,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
589,Hualmay,PE,72.19,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
590,Sahuaripa,MX,73.94,broken clouds,29.05,-109.2333,Estatua de Sahuaripa
591,Eyl,SO,73.65,overcast clouds,7.9803,49.8164,Amiin Hotel
595,Tanete,ID,77.22,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
599,Antofagasta,CL,67.28,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
601,Sao Raimundo Nonato,BR,74.93,broken clouds,-9.0153,-42.6994,Real Hotel
602,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
604,Kiunga,PG,75.25,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
605,Praia,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
606,Veraval,IN,65.35,clear sky,20.9,70.3667,Lords Inn Somnath
611,Ewa Beach,US,79.09,broken clouds,21.3156,-158.0072,Uncle Junior Robert
617,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
619,Adre,TD,60.01,clear sky,13.4667,22.2,
