City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Matagami,CA,2022-01-28 01:59:46,49.7502,-77.6328,-9.29,70,40,10.36
128,Grants Pass,US,2022-01-28 01:59:47,42.439,-123.3284,50.58,63,0,1.01
129,Nemuro,JP,2022-01-28 01:59:47,43.3236,145.575,18.03,66,14,8.39
130,Bengkulu,ID,2022-01-28 01:59:47,-3.8004,102.2655,82.0,71,97,1.07
131,Mordovo,RU,2022-01-28 01:59:48,52.0834,40.77,-3.26,100,100,5.7
132,Qaanaaq,GL,2022-01-28 01:59:48,77.484,-69.3632,-10.19,71,30,7.7
133,Kaitangata,NZ,2022-01-28 01:59:49,-46.2817,169.8464,59.94,65,61,7.67
134,Praia,CV,2022-01-28 01:56:30,14.9215,-23.5087,70.34,68,75,23.02
135,Provideniya,RU,2022-01-28 02:00:49,64.3833,-173.3,0.36,71,0,4.47
136,Nikolskoye,RU,2022-01-28 02:00:51,59.7035,30.7861,30.87,96,100,8.1
137,Pemangkat,ID,2022-01-28 02:00:51,1.1667,108.9667,80.47,80,100,6.51
138,Baykit,RU,2022-01-28 02:00:51,61.67,96.37,-21.41,100,65,0.45
139,Flin Flon,CA,2022-01-28 02:00:52,54.7682,-101.865,-3.37,97,17,6.02
140,Nanortalik,GL,2022-01-28 02:00:52,60.1432,-45.2371,11.62,78,42,11.5
141,Arlit,NE,2022-01-28 02:00:53,18.7369,7.3853,58.08,27,0,7.49
142,Havre-Saint-Pierre,CA,2022-01-28 02:00:53,50.2334,-63.5986,17.82,65,100,20.6
143,Segrate,IT,2022-01-28 02:00:54,45.4942,9.3001,43.39,100,100,5.75
144,Codrington,AU,2022-01-28 02:00:54,-38.2667,141.9667,72.41,71,80,8.28
145,Saint George,US,2022-01-28 01:59:20,37.1041,-113.5841,48.67,18,0,6.13
146,Presidencia Roque Saenz Pena,AR,2022-01-28 02:00:55,-26.7852,-60.4388,76.84,63,96,5.08
147,Vuktyl,RU,2022-01-28 02:00:55,63.8567,57.3094,4.26,96,100,6.89
148,Tiznit,MA,2022-01-28 02:00:56,29.5833,-9.5,55.26,41,97,15.3
149,Flinders,AU,2022-01-28 02:00:57,-34.5833,150.8552,87.06,64,16,5.99
150,Oum Hadjer,TD,2022-01-28 02:00:57,13.2954,19.6966,63.43,22,73,9.24
151,Tasiilaq,GL,2022-01-28 02:00:57,65.6145,-37.6368,21.36,95,100,6.96
152,Sao Filipe,CV,2022-01-28 02:00:58,14.8961,-24.4956,71.69,71,93,12.75
153,Mogadishu,SO,2022-01-28 02:00:58,2.0371,45.3438,75.38,82,93,16.28
154,Soubre,CI,2022-01-28 02:00:59,5.7856,-6.6083,71.87,97,34,2.42
155,Waingapu,ID,2022-01-28 02:00:59,-9.6567,120.2641,85.24,65,100,12.64
156,Seoul,KR,2022-01-28 01:57:48,37.5683,126.9778,29.59,50,0,6.91
157,Abu Kamal,SY,2022-01-28 02:01:00,34.4506,40.9171,41.29,69,0,8.1
158,Bambous Virieux,MU,2022-01-28 02:01:00,-20.3428,57.7575,73.22,70,1,8.84
159,Altus,US,2022-01-28 02:01:01,34.6381,-99.334,31.51,89,0,3.44
160,Namibe,AO,2022-01-28 02:01:02,-15.1961,12.1522,73.78,85,100,5.32
161,Kuybyshevskiy Zaton,RU,2022-01-28 02:01:02,55.1593,49.1701,3.78,97,98,5.23
162,Los Llanos De Aridane,ES,2022-01-28 02:01:03,28.6585,-17.9182,55.15,74,75,8.99
163,Port Blair,IN,2022-01-28 02:01:03,11.6667,92.75,82.44,74,20,6.91
164,Saskylakh,RU,2022-01-28 02:01:04,71.9167,114.0833,4.03,89,87,13.89
165,Vershino-Darasunskiy,RU,2022-01-28 02:01:04,52.35,115.5167,-7.38,86,24,4.21
166,Verkhoyansk,RU,2022-01-28 02:01:04,67.5447,133.385,-17.05,94,100,2.64
167,Dumai,ID,2022-01-28 02:01:05,1.6833,101.45,82.56,65,31,4.07
168,Eyl,SO,2022-01-28 02:01:05,7.9803,49.8164,71.89,72,88,16.6
169,Beian,NO,2022-01-28 02:01:06,63.6559,9.5683,38.01,56,75,25.32
170,Hualmay,PE,2022-01-28 02:01:06,-11.0964,-77.6139,70.32,85,100,7.31
171,Tiksi,RU,2022-01-28 02:01:07,71.6872,128.8694,-13.95,96,45,10.07
172,Vila,PT,2022-01-28 02:01:07,42.0304,-8.1588,36.48,78,0,4.97
173,West Lafayette,US,2022-01-28 02:01:08,40.4259,-86.9081,32.38,85,100,5.75
174,Okhotsk,RU,2022-01-28 02:01:08,59.3833,143.3,0.81,85,100,18.84
175,Upata,VE,2022-01-28 02:01:08,8.0086,-62.3989,74.19,74,4,4.25
176,Pilar,BR,2022-01-28 02:01:09,-9.5972,-35.9567,76.93,90,63,2.55
177,Tulum,MX,2022-01-28 02:01:09,20.2167,-87.4667,74.93,94,23,5.82
178,Dingle,PH,2022-01-28 02:01:10,10.9995,122.6711,83.26,76,88,8.14
179,Touros,BR,2022-01-28 02:00:44,-5.1989,-35.4608,78.67,81,100,6.98
180,Axim,GH,2022-01-28 02:01:10,4.8699,-2.2405,78.1,85,26,4.29
181,Seydi,TM,2022-01-28 02:02:11,39.4816,62.9137,47.41,35,81,13.35
182,Norman Wells,CA,2022-01-28 02:02:11,65.282,-126.8329,-2.83,99,100,3.11
183,Masterton,NZ,2022-01-28 02:02:12,-40.9597,175.6575,74.97,34,13,4.94
184,Libreville,GA,2022-01-28 02:02:12,0.3925,9.4537,78.44,85,100,5.37
185,Cadillac,US,2022-01-28 02:02:12,44.2519,-85.4012,18.16,67,100,8.05
186,Clonakilty,IE,2022-01-28 02:02:13,51.6231,-8.8706,40.21,90,72,5.75
187,Limbang,MY,2022-01-28 02:02:13,4.75,115.0,77.11,75,83,2.13
188,Usinsk,RU,2022-01-28 02:02:14,65.9939,57.5281,-1.68,99,90,11.05
189,Lebu,CL,2022-01-28 02:02:14,-37.6167,-73.65,59.54,94,8,2.04
190,Batagay-Alyta,RU,2022-01-28 02:02:16,67.8006,130.4114,-22.14,93,46,3.09
191,Ovre Ardal,NO,2022-01-28 02:02:16,61.3167,7.8,21.47,98,84,5.91
192,Grindavik,IS,2022-01-28 02:02:16,63.8424,-22.4338,41.47,93,100,26.46
193,Nhulunbuy,AU,2022-01-28 02:02:17,-12.2333,136.7667,88.41,70,40,11.5
194,Byron Bay,AU,2022-01-28 02:02:17,-28.65,153.6167,84.15,64,13,9.24
195,Lazaro Cardenas,MX,2022-01-28 02:00:02,17.9583,-102.2,76.26,75,4,4.09
196,Hilo,US,2022-01-28 02:02:18,19.7297,-155.09,77.25,83,9,5.01
197,Peruibe,BR,2022-01-28 02:02:18,-24.32,-46.9983,74.75,95,100,7.38
