City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Nokaneng,BW,-19.6667,22.2667,68.05,87,86,8.37,overcast clouds
107,Santo Tomas,PH,14.1079,121.1414,78.33,85,75,7.63,broken clouds
108,Mitzic,GA,0.7821,11.549,70.74,85,98,3.44,overcast clouds
109,Guapo,BR,-16.8306,-49.5319,75.58,95,99,3.94,heavy intensity rain
110,Upernavik,GL,72.7868,-56.1549,-3.35,94,100,4.0,overcast clouds
111,Saint-Leu,RE,-21.15,55.2833,76.06,78,17,13.91,few clouds
112,Kisesa,TZ,-3.0833,34.15,63.72,96,100,2.44,moderate rain
113,Grand Gaube,MU,-20.0064,57.6608,79.2,82,100,1.99,overcast clouds
114,Sitka,US,57.0531,-135.33,39.09,75,75,5.75,broken clouds
115,Narsaq,GL,60.9167,-46.05,19.62,77,100,21.39,light snow
116,Talnakh,RU,69.4865,88.3972,-15.34,95,86,8.84,overcast clouds
117,Huarmey,PE,-10.0681,-78.1522,71.69,82,100,8.95,overcast clouds
118,Herrenberg,DE,48.5952,8.8665,35.4,88,23,3.58,few clouds
119,San Antonio,US,29.4241,-98.4936,72.05,40,0,9.22,clear sky
120,Shimoda,JP,34.6667,138.95,38.1,66,99,9.33,overcast clouds
121,Nanortalik,GL,60.1432,-45.2371,17.73,83,100,23.31,snow
122,Premia De Mar,ES,41.4921,2.3652,57.79,43,3,1.99,clear sky
123,Lagoa,PT,39.05,-27.9833,58.51,70,58,25.9,broken clouds
124,Sao Filipe,CV,14.8961,-24.4956,71.51,71,99,13.85,overcast clouds
125,Lewistown,US,40.5992,-77.5714,25.2,81,0,0.0,clear sky
126,Portland,US,45.5234,-122.6762,53.64,75,100,1.99,overcast clouds
127,Mehamn,NO,71.0357,27.8492,29.19,81,99,3.06,snow
128,Karratha,AU,-20.7377,116.8463,83.79,60,69,17.11,broken clouds
129,Sur,OM,22.5667,59.5289,70.83,67,0,4.72,clear sky
130,Butaritari,KI,3.0707,172.7902,82.11,76,22,20.94,few clouds
131,Paamiut,GL,61.994,-49.6678,15.37,78,100,6.73,light snow
132,Buraydah,SA,26.326,43.975,58.84,41,86,11.59,overcast clouds
133,Nyazepetrovsk,RU,56.0531,59.6028,3.78,98,81,2.3,broken clouds
134,Faya,SA,18.3851,42.4509,54.12,81,12,4.38,few clouds
135,Mananara,MG,-16.1667,49.7667,72.55,92,20,5.86,few clouds
136,Mar Del Plata,AR,-38.0023,-57.5575,66.87,81,75,13.0,broken clouds
137,San Policarpo,PH,12.1791,125.5072,77.47,87,53,2.86,broken clouds
138,Farmington,US,36.7281,-108.2187,50.2,24,0,13.8,clear sky
139,Aklavik,CA,68.2191,-135.0107,-0.62,97,100,3.65,overcast clouds
140,Inhambane,MZ,-23.865,35.3833,74.73,82,54,7.49,broken clouds
141,Marsh Harbour,BS,26.5412,-77.0636,63.25,57,99,10.63,overcast clouds
142,Carnarvon,AU,-24.8667,113.6333,80.67,69,47,17.27,scattered clouds
143,Belmonte,BR,-15.8631,-38.8828,79.3,82,9,11.36,clear sky
144,Ribeira Grande,PT,38.5167,-28.7,59.04,74,56,25.68,broken clouds
145,Port Elizabeth,ZA,-33.918,25.5701,68.09,91,96,10.16,overcast clouds
146,Hambantota,LK,6.1241,81.1185,75.76,89,19,11.61,few clouds
147,Abu Kamal,SY,34.4506,40.9171,45.93,63,46,8.86,scattered clouds
148,Saint-Augustin,CA,51.226,-58.6502,15.15,84,99,36.31,overcast clouds
149,Merauke,ID,-8.4667,140.3333,80.46,78,99,5.35,overcast clouds
150,Matadi,CD,-5.8167,13.45,76.71,94,100,2.46,light rain
151,Jamestown,US,42.097,-79.2353,19.02,60,100,1.99,overcast clouds
152,Wladyslawowo,PL,54.7909,18.4009,36.95,67,78,25.99,broken clouds
153,Macon,US,39.8667,-88.9668,30.06,64,0,9.22,clear sky
154,Fuxin,CN,42.0156,121.6589,17.49,43,99,3.51,overcast clouds
155,Zenzeli,RU,45.9241,47.0474,31.3,76,10,1.41,clear sky
156,Nuuk,GL,64.1835,-51.7216,12.81,73,40,21.85,scattered clouds
157,Veseloyarsk,RU,51.2836,81.1056,11.95,86,95,10.83,overcast clouds
158,Taoudenni,ML,22.6783,-3.9836,72.43,14,82,18.03,broken clouds
159,Mount Isa,AU,-20.7333,139.5,76.77,94,75,12.66,broken clouds
160,Konstantinovsk,RU,47.5828,41.0922,33.73,98,100,16.44,light snow
161,Pangnirtung,CA,66.1451,-65.7125,-21.53,83,92,6.22,overcast clouds
162,Calvillo,MX,21.85,-102.7167,79.74,14,29,15.26,scattered clouds
163,Broome,US,42.2506,-75.833,14.56,72,0,1.99,clear sky
164,Beringovskiy,RU,63.05,179.3167,-7.87,99,100,11.27,overcast clouds
165,Itaqui,BR,-29.1253,-56.5531,83.71,25,0,10.02,clear sky
166,Luderitz,NA,-26.6481,15.1594,64.76,87,65,9.51,broken clouds
167,Port Blair,IN,11.6667,92.75,71.37,72,34,6.87,scattered clouds
168,San Quintin,MX,30.4833,-115.95,64.02,49,1,9.98,clear sky
169,Zhanaozen,KZ,43.3,52.8,38.98,65,100,14.36,overcast clouds
170,Corleone,IT,37.8134,13.3017,49.98,88,69,5.28,broken clouds
171,Katherine,AU,-14.4667,132.2667,80.92,78,20,14.97,few clouds
172,Clyde River,CA,70.4692,-68.5914,-32.82,97,73,3.22,broken clouds
173,Cabo San Lucas,MX,22.8909,-109.9124,78.1,64,20,10.36,few clouds
174,Chuy,UY,-33.6971,-53.4616,71.64,72,16,14.05,few clouds
175,Mahebourg,MU,-20.4081,57.7,79.09,94,75,9.22,broken clouds
176,Taua,BR,-5.9667,-40.3,76.75,61,99,4.12,overcast clouds
